"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cby1",0.581145635499715,0.205078299963142,0.301,0.33,1
"Smpd4",0.581387535986244,0.211796346127081,0.175,0.187,1
"Jak3",0.582345737874498,0.202949212505738,0.044,0.042,1
"Kdm6b",0.582446965226593,0.228391528530294,0.372,0.408,1
"Wdr19",0.582583679461308,0.385007079144611,0.069,0.074,1
"Rtl6",0.585996086389434,0.408635661765954,0.043,0.046,1
"Rgp1",0.587999565411001,0.434019782388408,0.119,0.12,1
"Gm10282",0.588118580179227,-0.570875075946579,0.017,0.019,1
"Cyyr1",0.588245537426679,1.49757349843052,0.009,0.01,1
"BC065397",0.588363965935046,0.618829637030144,0.015,0.016,1
"Zfp551",0.59031911225459,0.802946365935668,0.024,0.022,1
"Zfp747",0.590446232985442,0.390156097688635,0.037,0.039,1
"Pfkm",0.590931999460966,0.304057594491232,0.123,0.124,1
"Zfp949",0.591089065791617,0.217906851483562,0.07,0.075,1
"Cryz",0.591840245425754,0.309188228929896,0.205,0.213,1
"Apeh",0.592128688327128,0.490918482697526,0.275,0.293,1
"Recql",0.592858670825025,0.245227536381516,0.161,0.174,1
"Rad54l",0.59338303939638,0.641853251900367,0.123,0.126,1
"Tor1aip1",0.594028507447085,0.118048347241198,0.571,0.636,1
"Tmem250-ps",0.594396092484212,0.259028510284875,0.208,0.216,1
"Trim62",0.594490062445506,0.101108761704357,0.026,0.028,1
"Pim2",0.594717409494059,-0.195173832307769,0.017,0.018,1
"Ifitm1",0.595920843644403,0.164989299396725,0.013,0.014,1
"Zfp954",0.596455028504883,0.834134880942354,0.079,0.078,1
"Cxcl5",0.597342659886664,0.392329374908514,0.114,0.114,1
"Lbr",0.598597645417189,0.270793204368167,0.319,0.351,1
"Lin52",0.600255175390205,0.564265794427565,0.079,0.077,1
"Gm43331",0.600262795897234,0.146876650143033,0.023,0.021,1
"Best1",0.600367544505682,1.12497381544992,0.026,0.025,1
"Mfsd3",0.6007895268798,0.127897726313781,0.113,0.119,1
"Polr1a",0.601940090445478,0.295065578574116,0.311,0.333,1
"E130317F20Rik",0.602607825698545,0.786547317629595,0.077,0.082,1
"Nphs1",0.603066701752396,0.876819928270683,0.047,0.05,1
"Hectd1",0.603317200176687,0.143340496167535,0.676,0.709,1
"Dhx37",0.603373303119681,0.533444047362286,0.109,0.109,1
"Robo1",0.603975358047104,0.233484401659198,0.043,0.042,1
"Atpsckmt",0.604547749323202,0.367635434179947,0.305,0.33,1
"Mia3",0.604593508748744,0.100275674397317,0.69,0.72,1
"Zfyve1",0.604704105896309,0.561941927023008,0.143,0.145,1
"Hyal1",0.604821375756896,0.499185700589823,0.043,0.046,1
"Bbx",0.606175444147591,0.272425083577487,0.507,0.555,1
"Zfp426",0.606625612072913,0.367198446356998,0.114,0.114,1
"Zdhhc17",0.608047130341049,0.502067507643864,0.205,0.222,1
"Eif4ebp3",0.609824658356367,0.148061324000945,0.155,0.165,1
"Zpbp",0.610113593114284,0.132256264226795,0.013,0.014,1
"Upf2",0.612625482568797,0.486182710229197,0.332,0.37,1
"Sdcbp2",0.615899845615824,-0.325541634302648,0.029,0.031,1
"Adamts4",0.617076881470337,0.540390223177142,0.129,0.14,1
"Fam228b",0.617234330780363,0.304265034718576,0.026,0.028,1
"Per2",0.618597348063373,0.409287589261478,0.044,0.047,1
"Ciz1",0.619512178772609,0.32017307736915,0.264,0.29,1
"Tbccd1",0.620359935471197,0.427302764711425,0.132,0.133,1
"Pot1a",0.620607401403983,0.385204551946734,0.143,0.146,1
"Phpt1",0.621069318777415,0.453076713812929,0.159,0.163,1
"Accs",0.621905082768471,0.481533311413532,0.061,0.059,1
"Gmfb",0.62270225084016,0.142834861798394,0.563,0.621,1
"Dhx34",0.62285110710639,0.444010822349398,0.078,0.077,1
"Ppil4",0.622874524140579,0.243860319271793,0.438,0.476,1
"Kbtbd7",0.623126901358832,0.383010774584161,0.053,0.056,1
"Bcas3",0.623175975503313,0.298624555145022,0.168,0.17,1
"Ipo9",0.623968153961721,0.179329192400818,0.372,0.401,1
"Cnih2",0.6248223605829,0.312022489482493,0.034,0.033,1
"Mon2",0.628635888744944,0.33218740080251,0.423,0.46,1
"Golga4",0.629192843826051,0.240587258306579,0.493,0.545,1
"Pogz",0.630529500131089,0.453577754518646,0.186,0.203,1
"A530013C23Rik",0.630657078537212,0.676461157174462,0.054,0.053,1
"4933439K11Rik",0.632153901635719,0.730752401082798,0.012,0.013,1
"Trip11",0.632840128129896,0.169127575508384,0.577,0.63,1
"Stk36",0.632977231180953,0.580364105799085,0.02,0.021,1
"Hoxd4",0.633513231946673,0.514333162362706,0.033,0.036,1
"Ddhd1",0.634684010287653,0.582545786976402,0.161,0.173,1
"Gatc",0.635558605222324,0.176315763079767,0.185,0.198,1
"Secisbp2l",0.635574766418318,0.155810782820451,0.408,0.447,1
"Atxn3",0.635673799424233,0.276467711373689,0.23,0.237,1
"Mau2",0.637606616439683,0.503966772574845,0.262,0.276,1
"Adamtsl2",0.639297961915089,1.26822233478103,0.018,0.017,1
"Deaf1",0.63948023791743,0.399775369426795,0.121,0.13,1
"Pex14",0.639550734336514,0.251447784631595,0.314,0.351,1
"Sgms1",0.64073641084792,0.489504836005777,0.235,0.245,1
"Fnip1",0.640831362484682,0.199064112347027,0.471,0.523,1
"Gm31683",0.641692412480367,1.19360821900946,0.015,0.014,1
"Jrkl",0.64174306666251,0.494004808585955,0.182,0.189,1
"Cnot3",0.643981622451462,0.243196605864532,0.445,0.496,1
"Bcap29",0.645402009602686,0.295160191585629,0.349,0.375,1
"Ercc2",0.647538073898415,0.800874357410764,0.059,0.063,1
"Angel1",0.647660071930115,0.745690242191177,0.023,0.021,1
"Gm12905",0.64932491998625,0.801824625593869,0.013,0.015,1
"Ears2",0.649672288266764,0.504735380529076,0.11,0.116,1
"Cyp2r1",0.65097795920211,0.774987127414082,0.028,0.03,1
"Psme3",0.650979067646348,0.221775900569541,0.438,0.485,1
"Tnip1",0.651534537122541,0.464761418623377,0.222,0.243,1
"4930432K21Rik",0.651835943433348,-0.535436634214968,0.011,0.012,1
"Ttc9c",0.65203730108935,0.491727737064093,0.283,0.308,1
"Gm26737",0.652390460380659,0.179609216874882,0.044,0.047,1
"Mcf2l",0.652539671837332,1.02440241285439,0.011,0.01,1
"Rbmx",0.652719596798521,0.37198459158533,0.231,0.25,1
"Fbxl12",0.653245523597355,0.566280002509313,0.116,0.117,1
"Hist1h2ae",0.653797258835459,0.411935019590444,0.194,0.207,1
"Mon1b",0.655124584109792,0.176188471140321,0.083,0.087,1
"Dennd5b",0.656149067877609,0.440507534831589,0.182,0.187,1
"Ctdspl2",0.66018303669034,0.405750218688324,0.329,0.361,1
"Gm4707",0.661371315398125,1.28904071517312,0.03,0.032,1
"Hdhd3",0.663442063088384,0.120017771616389,0.087,0.086,1
"Gm14403",0.66485666839873,0.433425407556522,0.043,0.041,1
"Asb1",0.664922029994581,0.4654997629012,0.105,0.111,1
"Tmem67",0.665417141169467,0.546496289034522,0.059,0.062,1
"Tnpo3",0.665547636569604,0.160507071825601,0.49,0.538,1
"Itgb3bp",0.666705964565472,0.285872033107512,0.262,0.276,1
"Eed",0.66740137279734,0.279833333744193,0.352,0.378,1
"Sirt7",0.667894140914561,0.584516180004313,0.257,0.269,1
"Rpap2",0.66831028401749,0.532225318228122,0.153,0.158,1
"Setmar",0.669179200298598,0.430788081186193,0.02,0.019,1
"Rapgef6",0.66959108315557,0.372680184913726,0.368,0.403,1
"2310001H17Rik",0.670040807562137,0.663286797408857,0.054,0.057,1
"Fh1",0.6712650264922,0.413351032133584,0.481,0.551,1
"Dync2li1",0.671609233164983,0.426821908951105,0.172,0.181,1
"Zfp553",0.671951765869284,0.510107979206137,0.114,0.122,1
"Cwf19l1",0.671983911163635,0.43360513123549,0.093,0.093,1
"Azi2",0.672126261794886,0.122657499172739,0.436,0.483,1
"Map2k4",0.67288183418118,0.160058958683945,0.352,0.386,1
"Gm42670",0.672908972921429,0.404134546101218,0.024,0.023,1
"Abca7",0.673319483128455,0.307706421911841,0.106,0.105,1
"Zswim4",0.673888946804092,0.57235353547056,0.087,0.088,1
"Setd1a",0.674400882910559,0.510430910964623,0.221,0.241,1
"Engase",0.675161623517561,0.329068373434332,0.036,0.038,1
"Ccdc28a",0.676310235926138,0.783856767139417,0.083,0.088,1
"Timp4",0.677128289510113,1.85403110576947,0.011,0.01,1
"N4bp2",0.677283310116147,0.612607576548919,0.187,0.197,1
"Lysmd4",0.677679145606602,0.532020777274902,0.053,0.056,1
"Ddx3y",0.678229982014636,0.180393482161537,0.56,0.602,1
"Gstz1",0.679538982875401,0.387865911995094,0.207,0.224,1
"Mcm8",0.679738584504087,0.400309912349197,0.122,0.131,1
"Ubxn11",0.679815773273342,0.85869948768046,0.016,0.015,1
"Gm4425",0.681325488690966,0.397119245158421,0.009,0.01,1
"Apoc2",0.683264478877666,-0.72994505543578,0.022,0.023,1
"Atg13",0.683401633808029,0.255752394428973,0.207,0.223,1
"Ubfd1",0.683435014221616,0.155914380176633,0.44,0.492,1
"Ppid",0.683555993080934,0.171952028367314,0.529,0.571,1
"Zfp68",0.68752805459613,0.503669676809419,0.274,0.297,1
"Arhgef18",0.687653322249953,0.546414304456491,0.185,0.193,1
"Gm20075",0.687776478692887,1.18921130145906,0.014,0.015,1
"Shprh",0.688084348958056,0.512580784037189,0.218,0.236,1
"Hmg20a",0.688114365369051,0.394045395977531,0.254,0.278,1
"Gm11273",0.689033121257179,0.114829586653277,0.035,0.034,1
"Xrcc6",0.689678956328124,0.433371509911725,0.278,0.302,1
"Begain",0.691278429847488,0.831689661324996,0.041,0.04,1
"Ppp2r3a",0.691448439036473,0.575788215073658,0.191,0.199,1
"Chchd3",0.69272917214422,0.392175301721151,0.511,0.607,1
"Eps8l1",0.69288730209712,0.649387335792199,0.025,0.024,1
"5830416I19Rik",0.692909863386407,-0.173774222928332,0.021,0.02,1
"Gm16794",0.693894085895435,1.64022474063224,0.011,0.011,1
"Atrip",0.694156267902354,0.401609639855741,0.164,0.175,1
"Xlr3b",0.69422991789875,1.21194234234037,0.014,0.015,1
"Gm42869",0.69573549851665,1.10291003973792,0.023,0.024,1
"Hist1h2af",0.695856795435523,0.63838652548653,0.024,0.026,1
"Trim32",0.696041438837721,0.428131680796767,0.213,0.224,1
"B230118H07Rik",0.696494558519837,0.286859962777665,0.314,0.34,1
"Zfp609",0.696966331192029,0.435604088725214,0.224,0.236,1
"Chst2",0.700212980501003,0.518792768134721,0.143,0.156,1
