"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sorbs3",5.9351645908644e-17,0.773867954137802,0.16,0.086,1.22584889459713e-12,"0","Sorbs3"
"Rnf122",6.15668397298041e-17,0.349446759021703,0.175,0.096,1.27160150777937e-12,"0","Rnf122"
"Greb1",6.39438093011862e-17,0.890382301570827,0.122,0.059,1.3206954373067e-12,"0","Greb1"
"Vax2",6.9993748857401e-17,0.845534397880846,0.132,0.066,1.44565088890076e-12,"0","Vax2"
"Fbxl17",7.29214044988122e-17,0.347127504242707,0.278,0.181,1.50611868851847e-12,"0","Fbxl17"
"Xylt1",7.33381413107008e-17,0.945446329131669,0.138,0.07,1.51472597063121e-12,"0","Xylt1"
"C3",7.49700508344006e-17,0.645477737991372,0.383,0.275,1.54843142993371e-12,"0","C3"
"Rps24",8.3479267620982e-17,0.13863863273667,1,0.988,1.72418079344376e-12,"0","Rps24"
"Ift46",8.51111110459456e-17,0.185395390924558,0.381,0.266,1.75788488754296e-12,"0","Ift46"
"Stx18",8.80300425380832e-17,0.275935541531083,0.402,0.291,1.81817249858157e-12,"0","Stx18"
"Fam135a",8.89705224291609e-17,0.122219125672071,0.245,0.15,1.83759717025189e-12,"0","Fam135a"
"Cct6a",9.08480019584581e-17,0.117104460763354,0.955,0.768,1.87637463244999e-12,"0","Cct6a"
"B830012L14Rik",9.14395293960834e-17,0.434323339612626,0.117,0.055,1.88859204014671e-12,"0","B830012L14Rik"
"Unc45b",9.20469218641668e-17,0.765913366983335,0.113,0.053,1.9011371241825e-12,"0","Unc45b"
"Prag1",9.32962083981691e-17,0.780371344676304,0.142,0.073,1.92693988825578e-12,"0","Prag1"
"C1galt1c1",9.84127417812389e-17,0.165750283728376,0.302,0.2,2.03261676874971e-12,"0","C1galt1c1"
"Vps13d",9.91830885573506e-17,0.121461030475208,0.435,0.314,2.04852751106352e-12,"0","Vps13d"
"Zbtb24",1.05463613418413e-16,0.397787365597402,0.249,0.155,2.17824547154391e-12,"0","Zbtb24"
"Sfrp2",1.07134253520157e-16,0.294808584305713,0.402,0.279,2.21275087220532e-12,"0","Sfrp2"
"Mecp2",1.096425342833e-16,0.112154872819429,0.457,0.331,2.26455690308728e-12,"0","Mecp2"
"Ripk1",1.11025298161243e-16,0.105463048999075,0.574,0.436,2.2931165082223e-12,"0","Ripk1"
"Sap30bp",1.14020313999054e-16,0.142305556000001,0.421,0.3,2.35497556533645e-12,"0","Sap30bp"
"Zpr1",1.1471296719138e-16,0.156074456850193,0.523,0.388,2.36928162437077e-12,"0","Zpr1"
"Gar1",1.17833131321704e-16,0.142853002601346,0.585,0.437,2.43372549431847e-12,"0","Gar1"
"Ncoa6",1.21762350360978e-16,0.284094215992098,0.331,0.227,2.51487958435563e-12,"0","Ncoa6"
"Hoxb3",1.23982910371093e-16,0.600232321392727,0.15,0.079,2.56074303080456e-12,"0","Hoxb3"
"Adat2",1.2492511629113e-16,0.310635008148485,0.223,0.135,2.580203351877e-12,"0","Adat2"
"Tusc1",1.24932138805706e-16,0.488958093724078,0.257,0.165,2.58034839489306e-12,"0","Tusc1"
"Srprb",1.37251930051375e-16,0.108773163743472,0.501,0.369,2.8348013632811e-12,"0","Srprb"
"Agps",1.43926431370749e-16,0.145504736697906,0.482,0.352,2.97265651353145e-12,"0","Agps"
"Clcn5",1.44030924328845e-16,0.242017261933505,0.397,0.281,2.97481471108797e-12,"0","Clcn5"
"Utp18",1.63044905379541e-16,0.104222835430714,0.522,0.384,3.36752947570905e-12,"0","Utp18"
"Plekhb2",1.64518900260022e-16,0.280675127436682,0.266,0.168,3.39797336597049e-12,"0","Plekhb2"
"Noc2l",1.75985318271462e-16,0.100122038349045,0.625,0.479,3.63480076357878e-12,"0","Noc2l"
"Med9",1.7650279988591e-16,0.132729794125978,0.563,0.418,3.64548882884358e-12,"0","Med9"
"Rell1",1.78269472257448e-16,0.28522247085595,0.313,0.204,3.68197768000533e-12,"0","Rell1"
"Plekhf1",1.82297491780611e-16,0.367181628858629,0.271,0.174,3.76517239523673e-12,"0","Plekhf1"
"Tesk1",1.82520061591747e-16,0.288655017106818,0.365,0.254,3.76976935211595e-12,"0","Tesk1"
"Ubc",1.8457062653612e-16,0.12092386299945,0.998,0.912,3.81212172047702e-12,"0","Ubc"
"Plekha1",1.9345136719528e-16,0.148638809561968,0.327,0.22,3.99554453805132e-12,"0","Plekha1"
"Sept2",1.96147203840714e-16,0.188657688928363,0.298,0.196,4.0512243481261e-12,"0","Sept2"
"Vps26c",1.98112199290228e-16,0.243883086367425,0.343,0.237,4.09180936414037e-12,"0","Vps26c"
"Exoc2",2.01067270779506e-16,0.329489622111341,0.305,0.205,4.15284341067993e-12,"0","Exoc2"
"Map1s",2.13428357812967e-16,0.1626302010559,0.367,0.251,4.40814930226902e-12,"0","Map1s"
"Lyrm2",2.13572692451679e-16,0.166513888956961,0.493,0.37,4.41113038989697e-12,"0","Lyrm2"
"2510039O18Rik",2.18368794126912e-16,0.14856159018673,0.444,0.32,4.51018907389724e-12,"0","2510039O18Rik"
"Naf1",2.22016199937041e-16,0.323335240270219,0.367,0.257,4.58552259349965e-12,"0","Naf1"
"Smap2",2.23504173276352e-16,0.13092829984539,0.524,0.385,4.61625519484978e-12,"0","Smap2"
"Zfp362",2.31518259048807e-16,0.743840189161271,0.169,0.095,4.78177812239406e-12,"0","Zfp362"
"Zfx",2.3205167946356e-16,0.104170484613381,0.513,0.38,4.79279538764037e-12,"0","Zfx"
"Kif3c",2.32422512395812e-16,0.886669005445128,0.112,0.052,4.8004545710231e-12,"0","Kif3c"
"Sat2",2.55160945920104e-16,0.574535563668898,0.178,0.099,5.27009417703383e-12,"0","Sat2"
"Zbtb7b",2.55472752665643e-16,0.330922211896707,0.298,0.197,5.27653423355618e-12,"0","Zbtb7b"
"Slc26a11",2.60206372783816e-16,0.776650441067698,0.109,0.05,5.37430242347695e-12,"0","Slc26a11"
"Rcan3",2.6219197971967e-16,0.336988938695818,0.217,0.129,5.41531314913006e-12,"0","Rcan3"
"Arv1",2.68044531441335e-16,1.09145131435422,0.102,0.047,5.53619175238934e-12,"0","Arv1"
"Pex11b",3.0155237244635e-16,0.466350823440675,0.268,0.174,6.22826270050691e-12,"0","Pex11b"
"Hoxa7",3.17822084561657e-16,0.379536353961954,0.269,0.176,6.56429733453647e-12,"0","Hoxa7"
"Dnm3",3.33615378699626e-16,0.636554223216852,0.108,0.05,6.89049203166207e-12,"0","Dnm3"
"Gab2",3.41317485107151e-16,0.437857286254735,0.204,0.12,7.0495713374031e-12,"0","Gab2"
"Zfp217",3.43823949506756e-16,0.380832674500448,0.259,0.165,7.10133985311255e-12,"0","Zfp217"
"Hmgn1",3.44057733991742e-16,0.113981225377579,0.983,0.796,7.10616843786543e-12,"0","Hmgn1"
"Prtn3",3.46036374846589e-16,0.722609597804346,0.114,0.054,7.14703528608145e-12,"0","Prtn3"
"Gm9844",3.47458576080309e-16,0.872204692537967,0.123,0.06,7.17640943036269e-12,"0","Gm9844"
"Carmn",3.52719060479226e-16,0.237098166336135,0.193,0.11,7.28505947513794e-12,"0","Carmn"
"Trappc13",3.57219596008348e-16,0.104217169620812,0.502,0.371,7.37801353595642e-12,"0","Trappc13"
"Mettl21a",3.6683913756343e-16,0.27737691619696,0.287,0.189,7.57669554723508e-12,"0","Mettl21a"
"Micall2",3.86523140204717e-16,0.579951622819887,0.139,0.071,7.98324893778822e-12,"0","Micall2"
"Apobr",4.04105604046923e-16,0.222661865152877,0.168,0.091,8.34639714598515e-12,"0","Apobr"
"Rab33b",4.11930105024656e-16,0.300857387383,0.266,0.172,8.50800438917924e-12,"0","Rab33b"
"Naa35",4.24310716411487e-16,0.140884852051972,0.505,0.378,8.76371353676286e-12,"0","Naa35"
"Ctdspl",4.31448646652843e-16,0.337068553887425,0.375,0.261,8.91114034796781e-12,"0","Ctdspl"
"Lvrn",4.98403713738409e-16,0.603829241210712,0.108,0.05,1.02940303035531e-11,"0","Lvrn"
"Crcp",5.24380759243964e-16,0.183131105081141,0.306,0.203,1.08305602014248e-11,"0","Crcp"
"Utp14a",5.30701314193486e-16,0.124186410686355,0.561,0.427,1.09611049433523e-11,"0","Utp14a"
"Jup",5.49546841516381e-16,0.422922806220156,0.152,0.081,1.13503404646793e-11,"0","Jup"
"1110051M20Rik",5.53363352886313e-16,0.534530453598537,0.187,0.107,1.14291666905139e-11,"0","1110051M20Rik"
"Nosip",5.55920368643798e-16,0.19448693137198,0.37,0.257,1.1481979293969e-11,"0","Nosip"
"Foxn2",5.60576156888159e-16,0.24767865180357,0.321,0.219,1.1578139944368e-11,"0","Foxn2"
"Col4a3bp",5.61914647136851e-16,0.121411538607926,0.493,0.371,1.16057851219645e-11,"0","Col4a3bp"
"Dip2b",5.74930506872988e-16,0.343026203827528,0.34,0.233,1.18746146889547e-11,"0","Dip2b"
"Lonrf1",5.78863525492272e-16,0.730668145416235,0.15,0.079,1.19558472555174e-11,"0","Lonrf1"
"Snapc2",6.25403262193862e-16,0.34914225604882,0.297,0.198,1.2917078977352e-11,"0","Snapc2"
"Polm",6.44966750340271e-16,0.242944617378393,0.147,0.076,1.3321143261528e-11,"0","Polm"
"Zbtb8a",6.48283093816839e-16,1.03382342540321,0.124,0.062,1.3389639019693e-11,"0","Zbtb8a"
"Pop4",6.67544029726237e-16,0.126896356259282,0.455,0.319,1.37874543899657e-11,"0","Pop4"
"Prr12",6.78879138503146e-16,0.314127125825467,0.336,0.232,1.4021569726644e-11,"0","Prr12"
"Katnal1",6.88375471316352e-16,0.385855235189037,0.274,0.178,1.42177069845679e-11,"0","Katnal1"
"Ehbp1",7.05688665834663e-16,0.6630093408138,0.179,0.103,1.45752937041491e-11,"0","Ehbp1"
"E130311K13Rik",7.20965585998645e-16,0.514065916588572,0.24,0.153,1.4890823213216e-11,"0","E130311K13Rik"
"Rpl36al",7.43029704619922e-16,0.135950314688478,0.995,0.855,1.53465355192199e-11,"0","Rpl36al"
"Inafm2",7.54011944178227e-16,0.237961990253929,0.236,0.145,1.55733626950571e-11,"0","Inafm2"
"Bicra",7.7671054382296e-16,0.509856743279369,0.173,0.098,1.60421795721194e-11,"0","Bicra"
"Dchs1",8.58619969672709e-16,1.11020038831321,0.1,0.046,1.77339368536201e-11,"0","Dchs1"
"Vps8",8.64890570263455e-16,0.304557816506439,0.252,0.159,1.78634498382214e-11,"0","Vps8"
"Cyp4f16",8.69272992671677e-16,0.450073793177003,0.178,0.1,1.79539643906408e-11,"0","Cyp4f16"
"Rbm15b",8.88983777656542e-16,0.26127707700899,0.363,0.256,1.83610709437182e-11,"0","Rbm15b"
"Nrtn",9.37842406885485e-16,0.976498206442242,0.121,0.061,1.93701970718128e-11,"0","Nrtn"
"Csde1",9.74630957986006e-16,0.117452482978829,0.982,0.811,2.0130027806243e-11,"0","Csde1"
"Mapre3",1.03462268466533e-15,0.302852276009161,0.231,0.142,2.13690969290777e-11,"0","Mapre3"
"Ncln",1.05139954304815e-15,0.147041235193025,0.5,0.377,2.17156061621166e-11,"0","Ncln"
"Szrd1",1.09674384414848e-15,0.108088038504048,0.593,0.451,2.26521473570427e-11,"0","Szrd1"
"Thumpd1",1.12349231156554e-15,0.13207191610347,0.493,0.369,2.32046102030746e-11,"0","Thumpd1"
"Rabep2",1.16858033698533e-15,0.445327119568881,0.226,0.141,2.41358582800949e-11,"0","Rabep2"
"Tbkbp1",1.17060226395837e-15,0.666902314987117,0.142,0.075,2.41776191597961e-11,"0","Tbkbp1"
"Rnf115",1.19726224821551e-15,0.158709162222892,0.439,0.318,2.47282544746431e-11,"0","Rnf115"
"Dnaja4",1.21173319285788e-15,0.43825633672379,0.18,0.104,2.50271373652866e-11,"0","Dnaja4"
"Fam110a",1.27986434125623e-15,0.821258270496884,0.165,0.093,2.64343181043062e-11,"0","Fam110a"
"Tuba4a",1.32260009149163e-15,0.197928415365495,0.379,0.269,2.73169822896681e-11,"0","Tuba4a"
"Kif13b",1.33092721585107e-15,0.293349039649209,0.29,0.192,2.74889707161879e-11,"0","Kif13b"
"Gm1673",1.33584122137689e-15,0.189856934954725,0.309,0.204,2.75904645863183e-11,"0","Gm1673"
"Cep164",1.34442924799309e-15,0.131975212059888,0.42,0.304,2.77678416880493e-11,"0","Cep164"
"Thbd",1.3838965855254e-15,0.520903465996458,0.16,0.087,2.85830000774416e-11,"0","Thbd"
"St7",1.54473620703488e-15,0.392137959929869,0.234,0.147,3.19049816200985e-11,"0","St7"
"Slc38a7",1.61116110268837e-15,0.385359821955787,0.198,0.118,3.32769214149256e-11,"0","Slc38a7"
"Ccdc32",1.71881181770316e-15,0.28863612089144,0.386,0.278,3.55003392828411e-11,"0","Ccdc32"
"Cfap97",1.76833880092723e-15,0.232440963641334,0.422,0.309,3.65232695943509e-11,"0","Cfap97"
"Dvl2",1.81361048226552e-15,0.425950703551706,0.225,0.139,3.74583109007121e-11,"0","Dvl2"
"Amot",1.83778000165927e-15,0.741573399440792,0.158,0.087,3.79575081542707e-11,"0","Amot"
"Eef1d",1.8436212116492e-15,0.131300503689772,0.993,0.826,3.80781525054026e-11,"0","Eef1d"
"Jmy",1.86321028392715e-15,0.129057761670786,0.442,0.326,3.84827452042313e-11,"0","Jmy"
"Stxbp1",2.11350579431093e-15,0.219939035017819,0.274,0.178,4.36523486756979e-11,"0","Stxbp1"
"Tmem65",2.12415534182093e-15,0.115779829809566,0.487,0.371,4.38723044299694e-11,"0","Tmem65"
"Gcat",2.20492859172007e-15,0.324989271522492,0.279,0.183,4.55405951333863e-11,"0","Gcat"
"Ccdc90b",2.21285178481636e-15,0.115066261556644,0.487,0.362,4.57042407635972e-11,"0","Ccdc90b"
"Rab20",2.22840320276795e-15,0.195274856362691,0.25,0.158,4.60254397499692e-11,"0","Rab20"
"Cacul1",2.38344681359947e-15,0.156999285999691,0.35,0.243,4.92277104880835e-11,"0","Cacul1"
"Pcyt1a",2.39475425287276e-15,0.163349833033346,0.476,0.351,4.9461254338834e-11,"0","Pcyt1a"
"Ofd1",2.40644605890121e-15,0.326116585851787,0.288,0.192,4.97027369005455e-11,"0","Ofd1"
"Cd3eap",2.40990857472353e-15,0.117046700627824,0.564,0.421,4.97742517023399e-11,"0","Cd3eap"
"Traf3",2.46611147789134e-15,0.410621343401339,0.205,0.123,5.09350664643677e-11,"0","Traf3"
"Rnaseh1",2.59584234092975e-15,0.215572448393572,0.343,0.236,5.36145277095631e-11,"0","Rnaseh1"
"Tk2",2.6001062079607e-15,0.380357593188804,0.182,0.105,5.37025936192202e-11,"0","Tk2"
"Dhx32",2.61787146316047e-15,0.281399061902687,0.317,0.215,5.40695172001164e-11,"0","Dhx32"
"Msi2",2.72702669579376e-15,0.136588896082254,0.442,0.325,5.63240093749243e-11,"0","Msi2"
"Med19",2.81196489287015e-15,0.161752333730544,0.454,0.332,5.80783228973401e-11,"0","Med19"
"Snx16",2.92935333326121e-15,0.519251221273043,0.256,0.167,6.0502863745177e-11,"0","Snx16"
"Fam160b2",2.95835707880724e-15,0.154245590029208,0.255,0.165,6.11019071056848e-11,"0","Fam160b2"
"Ino80e",3.06294610508894e-15,0.125562802761143,0.483,0.359,6.32620888545071e-11,"0","Ino80e"
"Parp8",3.35591819154093e-15,0.174628602161857,0.234,0.145,6.93131343280863e-11,"0","Parp8"
"Nkap",3.4306795271105e-15,0.117274042489286,0.526,0.394,7.08572549529404e-11,"0","Nkap"
"Exoc4",3.44814523261324e-15,0.12444265723612,0.472,0.352,7.12179916343938e-11,"0","Exoc4"
"Msl3l2",3.49301102791919e-15,0.484290655950759,0.18,0.104,7.2144649770643e-11,"0","Msl3l2"
"B4gat1",3.57426411126623e-15,0.221638475673714,0.373,0.26,7.38228509540928e-11,"0","B4gat1"
"Pcnx",3.59187142436128e-15,0.133910265660039,0.32,0.217,7.4186512398758e-11,"0","Pcnx"
"Pacs1",3.80897183417882e-15,0.348563259735198,0.235,0.148,7.86705042631293e-11,"0","Pacs1"
"Spata5",3.83695887371371e-15,0.127031849986387,0.314,0.214,7.92485485776829e-11,"0","Spata5"
"Iqsec2",3.92069295518605e-15,0.6170870155955,0.15,0.082,8.09779922964126e-11,"0","Iqsec2"
"Iffo2",3.93705335779051e-15,0.244022982068657,0.332,0.231,8.13159000518051e-11,"0","Iffo2"
"Bin3",3.9995248511218e-15,0.256443803956358,0.321,0.216,8.26061862750696e-11,"0","Bin3"
"Mrtfa",4.01675835746816e-15,0.266409396138626,0.228,0.143,8.29621271151473e-11,"0","Mrtfa"
"Dym",4.33245065024755e-15,0.174790008949579,0.395,0.289,8.9482435730213e-11,"0","Dym"
"Gm6710",4.39297889483221e-15,0.596956221576733,0.163,0.092,9.07325860938644e-11,"0","Gm6710"
"Gtf2h1",4.48630473704099e-15,0.104672208299457,0.55,0.417,9.26601380388445e-11,"0","Gtf2h1"
"Fgfbp3",4.5283395787496e-15,0.624164625021782,0.138,0.072,9.35283256594942e-11,"0","Fgfbp3"
"Fpgs",4.54333531385484e-15,0.546176438641037,0.209,0.127,9.38380475723579e-11,"0","Fpgs"
"Arhgap12",4.75409848373454e-15,0.129533268528925,0.286,0.192,9.81911500830532e-11,"0","Arhgap12"
"Gmpr",5.31413586258353e-15,0.641977696425226,0.14,0.074,1.097581621058e-10,"0","Gmpr"
"Gm41724",5.32829038733358e-15,0.158690237839306,0.148,0.079,1.10050509659988e-10,"0","Gm41724"
"Shkbp1",5.60337328095524e-15,0.500198379531344,0.189,0.111,1.1573207174485e-10,"0","Shkbp1"
"Slc35b4",5.6201141880403e-15,0.264007411546243,0.36,0.254,1.16077838439784e-10,"0","Slc35b4"
"Dcaf7",5.64997540095062e-15,0.100697435925645,0.459,0.336,1.16694591931234e-10,"0","Dcaf7"
"Lpar4",5.7061612652803e-15,0.725681656304027,0.234,0.15,1.17855054773099e-10,"0","Lpar4"
"Spg11",6.15043752284036e-15,0.315914334549365,0.238,0.151,1.27031136596745e-10,"0","Spg11"
"Rab5b",6.24032424940725e-15,0.126706068257253,0.428,0.315,1.28887657047257e-10,"0","Rab5b"
"Peg13",6.31334573507569e-15,0.425802306596445,0.149,0.08,1.30395842812253e-10,"0","Peg13"
"Samd1",6.35325282606674e-15,0.215172209831133,0.452,0.33,1.31220083869582e-10,"0","Samd1"
"Dock6",6.48825414718328e-15,0.573216066154747,0.16,0.089,1.34008401155923e-10,"0","Dock6"
"Pja1",6.57065601195811e-15,0.11373836976747,0.472,0.354,1.35710329270983e-10,"0","Pja1"
"Klhl26",6.92179498082013e-15,0.31371665410971,0.257,0.166,1.42962753533859e-10,"0","Klhl26"
"Dnajc4",7.11416325091606e-15,0.209556550802412,0.369,0.265,1.4693592778442e-10,"0","Dnajc4"
"Cln8",7.31725249871671e-15,0.307161998983703,0.273,0.181,1.51130533108495e-10,"0","Cln8"
"Acsl5",7.7407325892917e-15,0.230857427568126,0.384,0.271,1.59877090899231e-10,"0","Acsl5"
"Mast2",7.86112610793004e-15,0.160706931947473,0.378,0.266,1.62363698633187e-10,"0","Mast2"
"B3glct",7.90626920191876e-15,0.298722152330131,0.312,0.215,1.6329608409643e-10,"0","B3glct"
"Higd1a",7.96538388617036e-15,0.185836108350063,0.939,0.759,1.64517038784963e-10,"0","Higd1a"
"Cct2",8.13552131536017e-15,0.140088377431141,0.983,0.802,1.68031057247449e-10,"0","Cct2"
"B4galt3",8.45252791243199e-15,0.354950912670436,0.223,0.139,1.7457851150337e-10,"0","B4galt3"
"Clu",8.6382287959495e-15,0.933627268300416,0.119,0.06,1.78413977551541e-10,"0","Clu"
"Wdr41",8.75259585473004e-15,0.527252949096133,0.201,0.123,1.80776114783594e-10,"0","Wdr41"
"Zfp449",8.86067132540058e-15,0.653671420777649,0.152,0.084,1.83008305554824e-10,"0","Zfp449"
"Casp8",9.88527398087463e-15,0.177910326207869,0.382,0.265,2.04170448800985e-10,"0","Casp8"
"Tnfrsf26",1.00836895720071e-14,0.745201326695788,0.111,0.054,2.08268524420234e-10,"0","Tnfrsf26"
"Slc35a5",1.05180403662521e-14,0.38842364906965,0.229,0.145,2.1723960572457e-10,"0","Slc35a5"
"Ncoa2",1.08229162854986e-14,0.400268022926349,0.286,0.193,2.23536512960687e-10,"0","Ncoa2"
"Mier3",1.09132340361939e-14,0.286031872779413,0.301,0.204,2.25401935783549e-10,"0","Mier3"
"Eif2ak1",1.09728443403863e-14,0.134995345270676,0.44,0.326,2.26633127006339e-10,"0","Eif2ak1"
"Anapc7",1.12640629306944e-14,0.133394444702913,0.424,0.313,2.32647955770562e-10,"0","Anapc7"
"Lrrk2",1.13691225534427e-14,0.188752305068482,0.259,0.166,2.34817857218805e-10,"0","Lrrk2"
"Exoc7",1.13986108353577e-14,0.237257326605272,0.346,0.245,2.35426908193479e-10,"0","Exoc7"
"Notch2",1.21617613115931e-14,0.230825854390093,0.29,0.196,2.51189018129644e-10,"0","Notch2"
"Snapc5",1.2162921356828e-14,0.117369767116944,0.498,0.378,2.51212977703925e-10,"0","Snapc5"
"Gtf2f2",1.22745846944523e-14,0.115696512511908,0.421,0.31,2.53519272279218e-10,"0","Gtf2f2"
"Zcchc10",1.23130872940817e-14,0.229514815817544,0.389,0.283,2.54314504971963e-10,"0","Zcchc10"
"Mterf2",1.29134545659839e-14,0.722333773839046,0.106,0.051,2.66714490605832e-10,"0","Mterf2"
"Extl2",1.29348314684983e-14,0.311501237317802,0.288,0.192,2.67156009150363e-10,"0","Extl2"
"Mitd1",1.30694855560147e-14,0.252336419788607,0.334,0.235,2.69937154673928e-10,"0","Mitd1"
"Tfcp2",1.34652620045498e-14,0.238043729024991,0.218,0.134,2.78111521441972e-10,"0","Tfcp2"
"Drosha",1.43277649252919e-14,0.204396912803321,0.332,0.229,2.95925656766978e-10,"0","Drosha"
"Rgs12",1.55212855177782e-14,0.508097532859862,0.233,0.149,3.20576631084192e-10,"0","Rgs12"
"Kif1bp",1.67041742694213e-14,0.103910180504569,0.4,0.29,3.45008015360627e-10,"0","Kif1bp"
"Bcl2",1.67760850899941e-14,0.326361159890492,0.188,0.11,3.46493261448738e-10,"0","Bcl2"
"Saa3",1.68901486567143e-14,0.107247426728648,0.41,0.529,3.48849130355778e-10,"0","Saa3"
"Blcap",1.81790966611129e-14,0.124572412811641,0.337,0.236,3.75471062438626e-10,"0","Blcap"
"Gjc1",1.93894523187643e-14,0.215724884643245,0.334,0.225,4.00469748191757e-10,"0","Gjc1"
"Tmem164",2.17285385201366e-14,0.325342168137063,0.221,0.137,4.48781234594901e-10,"0","Tmem164"
"Rps3",2.30756956082209e-14,0.128864695632466,0.999,0.968,4.76605417092194e-10,"0","Rps3"
"Dedd",2.31501281379554e-14,0.274457325610079,0.257,0.168,4.78142746561331e-10,"0","Dedd"
"Mlx",2.4868955008103e-14,0.211916332588187,0.409,0.3,5.1364339673736e-10,"0","Mlx"
"Arl15",2.8759668192222e-14,0.244667730904344,0.236,0.152,5.94002186842153e-10,"0","Arl15"
"Tsc2",2.93495136798561e-14,0.357520049825204,0.289,0.2,6.06184855543747e-10,"0","Tsc2"
"Atp9a",2.94116091413777e-14,0.632396243353969,0.165,0.096,6.07467375206014e-10,"0","Atp9a"
"Rps18",3.02152743902104e-14,0.103671700902614,0.999,0.974,6.24066277255406e-10,"0","Rps18"
"Mypop",3.13815799045087e-14,0.329045013108158,0.193,0.116,6.48155151347723e-10,"0","Mypop"
"Camsap2",3.14760286843991e-14,0.187311084789964,0.384,0.278,6.5010589644758e-10,"0","Camsap2"
"Tyro3",3.26234020436391e-14,0.597239034927625,0.1,0.047,6.73803745809321e-10,"0","Tyro3"
"Hoxc4",3.27783485820737e-14,0.324319856443683,0.153,0.085,6.77004011614150e-10,"0","Hoxc4"
"Sirt5",3.33489450291416e-14,0.41722386357476,0.155,0.087,6.88789110631891e-10,"0","Sirt5"
"Cox4i2",3.66916911779246e-14,0.459910321158638,0.198,0.119,7.57830189588855e-10,"0","Cox4i2"
"Cryzl2",3.7700304722689e-14,0.588790883837246,0.141,0.077,7.78662093742419e-10,"0","Cryzl2"
"Tbc1d19",4.03158310757062e-14,0.398209808809958,0.217,0.137,8.32683175037635e-10,"0","Tbc1d19"
"Mov10",4.32463706835022e-14,0.530054525225659,0.149,0.082,8.93210540097054e-10,"0","Mov10"
"Fam20c",4.36760883108063e-14,0.463089658645831,0.203,0.125,9.02085927971393e-10,"0","Fam20c"
"Adgra3",4.37677712463035e-14,0.279957992464785,0.268,0.179,9.03979547321153e-10,"0","Adgra3"
"Otud5",4.38572181785739e-14,0.255293166406931,0.423,0.315,9.05826984260266e-10,"0","Otud5"
"Kansl1",4.47420481527037e-14,0.165627293975497,0.453,0.345,9.24102262545943e-10,"0","Kansl1"
"Hoxc11",4.78175940503477e-14,1.12559800542171,0.101,0.049,9.87624587515882e-10,"0","Hoxc11"
"Tmem216",4.86685358663917e-14,0.346654079502198,0.238,0.154,1.00519993978445e-09,"0","Tmem216"
"Nit2",5.19915918869863e-14,0.101482450601607,0.456,0.339,1.07383433883382e-09,"0","Nit2"
"Nme1",5.60622648783046e-14,0.1187408454234,0.983,0.806,1.1579100187965e-09,"0","Nme1"
"Qpctl",5.79782796991046e-14,0.430011543251969,0.239,0.156,1.19748338890531e-09,"0","Qpctl"
"Tmem237",6.03722823911811e-14,0.1090531952555,0.367,0.254,1.24692912050746e-09,"0","Tmem237"
"Lrch1",6.08433709181096e-14,0.566738774534755,0.121,0.063,1.25665898294264e-09,"0","Lrch1"
"Arhgap6",6.0977736616282e-14,0.587631008195242,0.155,0.088,1.25943417207269e-09,"0","Arhgap6"
"Elk1",6.13688629211222e-14,0.277015489501687,0.23,0.147,1.26751249477286e-09,"0","Elk1"
"Kank1",6.23275997450431e-14,0.627918194301706,0.126,0.067,1.28731424513412e-09,"0","Kank1"
"Trabd",6.47520679858652e-14,0.168714134425056,0.408,0.304,1.33738921218006e-09,"0","Trabd"
"Ascc1",6.5092107715467e-14,0.176821531439166,0.369,0.264,1.34441239275526e-09,"0","Ascc1"
"Asb7",6.68290968582061e-14,0.305442166045836,0.261,0.174,1.38028816650939e-09,"0","Asb7"
"Tmem141",7.01475265254781e-14,0.304846712430794,0.258,0.172,1.44882701285723e-09,"0","Tmem141"
"Atf6b",7.19696555614561e-14,0.13277014720755,0.395,0.288,1.48646126596631e-09,"0","Atf6b"
"Commd10",7.42649639447133e-14,0.200793409377396,0.317,0.22,1.53386856531411e-09,"0","Commd10"
"Tmem167b",7.52694399089006e-14,0.149030768182138,0.34,0.239,1.55461501187843e-09,"0","Tmem167b"
"Rnf103",7.60134547250359e-14,0.189534560458119,0.353,0.249,1.56998189389089e-09,"0","Rnf103"
"Magi1",7.74441408774155e-14,0.539788879710636,0.183,0.109,1.59953128568214e-09,"0","Magi1"
"Gramd3",8.69466490459878e-14,0.501587449902761,0.219,0.14,1.79579608939583e-09,"0","Gramd3"
"Cerk",8.7331539972912e-14,0.234837538072646,0.24,0.152,1.80374562660052e-09,"0","Cerk"
"Thap4",8.90011844168007e-14,0.447133426847427,0.25,0.167,1.8382304629446e-09,"0","Thap4"
"As3mt",9.05810475718077e-14,0.748428425674156,0.161,0.093,1.87086095654812e-09,"0","As3mt"
"Cul2",9.48746230377236e-14,0.150628103613229,0.498,0.379,1.95954046422114e-09,"0","Cul2"
"Tvp23a",9.68618534968882e-14,0.842385197441873,0.12,0.062,2.00058472212473e-09,"0","Tvp23a"
"Sall2",9.78145771269851e-14,0.579857225118423,0.128,0.067,2.02026227598075e-09,"0","Sall2"
"Psd3",9.97032969221173e-14,0.412162471106306,0.206,0.127,2.05927189462941e-09,"0","Psd3"
"Cyld",9.97858032217114e-14,0.134360045409966,0.326,0.227,2.06097597974123e-09,"0","Cyld"
